Date,Vitamin D,Vitamin X,Vitamin Z
2004-01,21,23,27
2004-02,23,23,28
2004-03,23,20,21
2004-04,22,24,26
2004-05,24,21,23
2004-06,24,26,27
2004-07,22,19,19
2004-08,21,18,29
2004-09,23,24,31
2004-10,24,22,22
2004-11,25,28,31
2004-12,24,22,21
2005-01,24,26,23
2005-02,25,22,32
2005-03,25,25,35
2005-04,26,23,28
2005-05,26,24,28
2005-06,26,26,24
2005-07,26,27,27
2005-08,26,28,28
2005-09,26,27,36
2005-10,27,30,34
2005-11,27,26,28
2005-12,29,27,31
2006-01,27,29,35
2006-02,27,28,33
2006-03,28,26,31
2006-04,26,25,26
2006-05,28,27,28
2006-06,28,28,37
2006-07,29,27,30
2006-08,30,33,32
2006-09,34,36,44
2006-10,37,36,46
2006-11,37,40,39
2006-12,36,39,36
2007-01,38,35,41
2007-02,37,38,43
2007-03,37,38,39
2007-04,37,37,35
2007-05,38,36,43
2007-06,40,40,37
2007-07,36,36,44
2007-08,36,37,36
2007-09,39,40,47
2007-10,40,41,39
2007-11,40,43,38
2007-12,40,41,42
2008-01,42,42,45
2008-02,41,40,43
2008-03,42,40,42
2008-04,42,39,50
2008-05,43,44,40
2008-06,42,40,47
2008-07,42,40,42
2008-08,43,41,45
2008-09,43,46,44
2008-10,47,48,46
2008-11,45,47,55
2008-12,44,47,45
2009-01,44,42,43
2009-02,48,45,48
2009-03,47,45,50
2009-04,44,41,52
2009-05,44,45,46
2009-06,43,41,50
2009-07,41,43,38
2009-08,43,41,47
2009-09,45,44,54
2009-10,50,52,48
2009-11,52,49,57
2009-12,46,43,54
2010-01,48,49,46
2010-02,49,51,57
2010-03,50,52,52
2010-04,48,46,50
2010-05,48,47,55
2010-06,45,43,46
2010-07,47,48,45
2010-08,46,48,43
2010-09,47,45,45
2010-10,51,52,54
2010-11,54,57,55
2010-12,52,52,56
2011-01,55,53,62
2011-02,56,56,66
2011-03,57,55,54
2011-04,55,57,54
2011-05,54,56,64
2011-06,55,55,61
2011-07,52,50,55
2011-08,54,53,54
2011-09,56,55,56
2011-10,57,56,66
2011-11,58,55,66
2011-12,60,60,58
2012-01,64,66,67
2012-02,64,62,71
2012-03,63,63,61
2012-04,64,64,65
2012-05,63,61,64
2012-06,60,63,57
2012-07,61,60,59
2012-08,59,62,64
2012-09,58,57,65
2012-10,65,66,72
2012-11,60,59,63
2012-12,61,61,65
2013-01,65,62,73
2013-02,64,66,72
2013-03,66,66,69
2013-04,62,64,63
2013-05,61,60,59
2013-06,60,57,69
2013-07,59,58,56
2013-08,59,56,65
2013-09,57,60,54
2013-10,62,64,69
2013-11,61,60,62
2013-12,61,60,66
2014-01,64,62,73
2014-02,63,60,61
2014-03,60,59,60
2014-04,60,60,64
2014-05,61,60,59
2014-06,59,62,66
2014-07,56,59,63
2014-08,60,58,61
2014-09,58,59,62
2014-10,62,63,66
2014-11,60,63,57
2014-12,60,62,68
2015-01,63,66,67
2015-02,63,60,65
2015-03,63,65,62
2015-04,61,61,69
2015-05,59,58,64
2015-06,57,54,63
2015-07,57,58,67
2015-08,57,57,62
2015-09,57,59,64
2015-10,59,62,62
2015-11,61,62,64
2015-12,56,56,56
2016-01,62,59,61
2016-02,63,65,71
2016-03,60,62,58
2016-04,60,61,68
2016-05,58,55,60
2016-06,58,59,61
2016-07,57,60,65
2016-08,54,56,55
2016-09,57,56,55
2016-10,59,58,58
2016-11,59,62,66
2016-12,50,52,53
2017-01,55,55,54
2017-02,57,58,62
2017-03,55,53,59
2017-04,54,52,61
2017-05,52,52,59
2017-06,48,48,51
2017-07,48,50,56
2017-08,49,50,48
2017-09,49,50,53
2017-10,53,54,60
2017-11,57,57,63
2017-12,55,55,53
2018-01,58,56,59
2018-02,59,59,58
2018-03,60,58,62
2018-04,56,57,60
2018-05,55,54,54
2018-06,51,52,50
2018-07,51,52,49
2018-08,51,49,58
2018-09,52,54,58
2018-10,60,57,58
2018-11,60,60,68
2018-12,54,51,61
2019-01,62,63,69
2019-02,66,66,63
2019-03,64,62,61
2019-04,57,57,57
2019-05,54,53,64
2019-06,50,51,52
2019-07,49,48,52
2019-08,52,49,54
2019-09,53,54,62
2019-10,57,57,55
2019-11,59,56,58
2019-12,56,58,57
2020-01,61,59,58
2020-02,64,64,73
2020-03,81,82,79
2020-04,69,71,77
2020-05,82,82,87
2020-06,66,65,64
2020-07,67,67,73
2020-08,60,58,69
2020-09,78,80,81
2020-10,96,93,104
2020-11,100,99,109
2020-12,87,85,93
2021-01,95,97,93
2021-02,82,85,81
2021-03,79,78,88
2021-04,75,73,73
2021-05,68,70,78
2021-06,66,68,65
2021-07,76,74,73
2021-08,74,74,76
2021-09,72,73,77
2021-10,70,72,71
2021-11,72,69,75
2021-12,71,74,73
2022-01,81,78,83
2022-02,80,80,86
2022-03,70,72,69
2022-04,67,66,64
2022-05,61,59,62
